Date,Sequential_Number,Mitzvah_Type_Number,Summary,Biblical_Source,Sefaria_Link
2025-10-30,22,Positive 8,"We are commanded to imitate Him, may He be exalted, according to our ability.",Vayikra 25:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.8?lang=bi
2025-10-31,23,Positive 9,We are commanded to sanctify His name.,Vayikra 22:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi
2025-10-31,24,Positive 10,We are commanded to read the recitation of Shema in the evening and the morning.,Devarim 6:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.10?lang=bi
2025-11-01,25,Positive 11,We are commanded to study Torah and to teach it.,Devarim 6:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi
2025-11-01,26,Positive 12,We are commanded to put on the head tefillin.,Devarim 6:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi
2025-11-02,27,Positive 13,We are commanded to put on the hand tefillin.,Devarim 6:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi
2025-11-02,28,Positive 14,We are commanded to make tzitzit (fringes).,Bamidbar 15:38,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi
2025-11-03,29,Positive 15,We are commanded to make a mezuzah.,Devarim 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.15?lang=bi
2025-11-03,30,Positive 16,"We are commanded to assemble the people on the second day of Sukkos at the end of the sabbatical year, and to read some sections of Deuteronomy so they can hear it.",Devarim 31:12,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi
2025-11-04,31,Positive 17,"We are commanded that any king from our nation that sits on the royal throne should write a Torah scroll for himself, and that it not be separated from him.",Devarim 17:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.17?lang=bi
2025-11-04,32,Positive 18,We are commanded that every man among us should write a Torah scroll for himself.,Devarim 13:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.18?lang=bi
2025-11-05,33,Positive 19,We are commanded to bless Him after eating.,Devarim 8:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.19?lang=bi
2025-11-05,34,Positive 20,"We are commanded to build a choice house for Divine service, in which there will be sacrifices and an eternal burning of fire; and to which there will be journeying and pilgrimage on the festivals, and gatherings every year.",Shemos 25:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.20?lang=bi
2025-11-06,35,Positive 21,"We are commanded to fear this Temple very much, to the extent that we place a burden of fear and awe upon ourselves and that this be from the fear of the Temple.",Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.21?lang=bi
2025-11-06,36,Positive 22,"We are commanded to guard the Temple and to constantly walk around it, to honor it, to exalt it and to aggrandize it.",Bamidbar 18:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi
2025-11-07,37,Positive 23,We are commanded to serve G-d.,Shemos 21:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi
2025-11-07,38,Positive 24,We are commanded to serve G-d.,Shemos 21:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.24?lang=bi
2025-11-08,39,Positive 25,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.25?lang=bi
2025-11-08,40,Positive 26,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.26?lang=bi
2025-11-09,41,Positive 27,We are commanded to place the bread of display always in front of Him.,Vayikra 23:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.27?lang=bi
2025-11-09,42,Positive 28,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.28?lang=bi
2025-11-10,43,Positive 29,We are commanded to burn a fire on the altar every day continuously.,Vayikra 6:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.29?lang=bi
2025-11-10,44,Positive 30,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.30?lang=bi
2025-11-11,45,Positive 31,We are commanded to send away the impure from the camp.,Bamidbar 5:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.31?lang=bi
2025-11-11,46,Positive 32,"We are commanded to honor the seed of Aharon, to adorn and glorify them, and that we should place them on a level of priority and precedence.",Vayikra 27:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.32?lang=bi
2025-11-12,47,Positive 33,We are commanded to serve G-d.,Shemos 21:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.33?lang=bi
2025-11-12,48,Positive 34,We are commanded to serve G-d.,Shemos 21:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.34?lang=bi
2025-11-13,49,Positive 35,"We are commanded that we have oil made according to the special recipe, ready to anoint the high priest when he is appointed as He said, ""The priest who is exalted above his fellows, on whose head the anointing oil has been poured"" (Leviticus 21:10).",Shemos 30:25,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.35?lang=bi
2025-11-13,50,Positive 36,"We are commanded that the priests serve in watches, each watch serving one week.",Vayikra 7:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.36?lang=bi
2025-11-14,51,Positive 37,We are commanded to serve G-d.,Shemos 21:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.37?lang=bi
2025-11-14,52,Positive 38,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.38?lang=bi
2025-11-15,53,Positive 39,"We are commanded to sacrifice two one-year old lambs in the Temple everyday, and these are called the daily offerings (<i>temidim</i>).",Bamidbar 28:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.39?lang=bi
2025-11-15,54,Positive 40,We are commanded that the high priest offer a regular grain offering every day in the morning and in the afternoon.,Vayikra 6:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.40?lang=bi
2025-11-16,55,Positive 41,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.41?lang=bi
2025-11-16,56,Positive 42,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.42?lang=bi
2025-11-17,57,Positive 43,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.43?lang=bi
2025-11-17,58,Positive 44,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.44?lang=bi
2025-11-18,59,Positive 45,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.45?lang=bi
2025-11-18,60,Positive 46,"We are commanded to bring two breads of chametz to the Temple with the sacrifices that come with the bread on Shavuos which is fixed for the bringing of the sacrifice, as it appears in Leviticus and that the priests eat the two breads, after their waving, with the lambs of the peace offering.",Vayikra 23:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.46?lang=bi
2025-11-19,61,Positive 47,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.47?lang=bi
2025-11-19,62,Positive 48,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.48?lang=bi
2025-11-20,63,Positive 49,"We are commanded to do the service of the day meaning, the sum of all of the sacrifices and the confessions arranged for the fast of Yom Kippur, in order for them to atone for all of our transgressions, as it appears in Scripture.",Vayikra 16:34,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.49?lang=bi
2025-11-20,64,Positive 50,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.50?lang=bi
2025-11-21,65,Positive 51,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.51?lang=bi
2025-11-21,66,Positive 52,We are commanded to ascend to the Temple three times a year.,Devarim 16:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.52?lang=bi
2025-11-22,67,Positive 53,We are commanded to appear [at the Temple] on festivals.,Devarim 16:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.53?lang=bi
2025-11-22,68,Positive 54,We are commanded to rejoice in the the festivals.,Devarim 16:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.54?lang=bi
2025-11-23,69,Positive 55,We are commanded to slaughter the Pesach-offering on the fourteenth of Nissan in the afternoon.,Devarim 16:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.55?lang=bi
2025-11-23,70,Positive 56,"We are commanded to eat the lamb of the Pesach-offering on the night of the fifteenth of Nissan according to the stipulations mentioned and that is that it is roasted, that it is eaten in one house and that is eaten with matzah and bitter herbs (<i>maror</i>).",Shemos 12:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.56?lang=bi
2025-11-24,71,Positive 57,"We are commanded that whoever was prevented from slaughtering the first Pesach-offering, slaughter the second Pesach-offering.",Vayikra 12:6,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.57?lang=bi
2025-11-24,72,Positive 58,We are commanded to eat from the meat of the second-Pesach offering on the night of the fifteenth of Iyar over matzah and bitter herbs.,Bamidbar 9:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.58?lang=bi
2025-11-25,73,Positive 59,We are commanded to blow with trumpets in the Temple during the bringing of the holiday offerings.,Devarim 16:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.59?lang=bi
2025-11-25,74,Positive 60,We are commanded that any animal sacrifice that we offer be eight days old or more and not less.,Vayikra 22:27,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.60?lang=bi
2025-11-26,75,Positive 61,We are commanded that all of that which we offer Him be consummate for its type flawless from blemishes that appear in Scripture and those that they pronounced as such from tradition.,Vayikra 22:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.61?lang=bi
2025-11-26,76,Positive 62,We are commanded to offer salt on every sacrifice.,Vayikra 2:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.62?lang=bi
2025-11-27,77,Positive 63,We are commanded with the process of the burnt-offering sacrifice.,Vayikra 1:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.63?lang=bi
2025-11-27,78,Positive 64,"We are commanded with the process of the sin-offering sacrifice, according to the description that is mentioned whatever sin-offering it may be.",Vayikra 1:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.64?lang=bi
2025-11-28,79,Positive 65,"We are commanded with the process of the guilt-offering sacrifice according to the description that is mentioned with His saying, ""And this is the law of the guilt-offering"" (Leviticus 7:1).",Vayikra 7:1,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.65?lang=bi
2025-11-28,80,Positive 66,"We are commanded with the process of the peace-offering sacrifices according to the description that is mentioned with His saying, ""And if his sacrifice is a sacrifice of peace-offerings"" (Leviticus 3:1).",Vayikra 3:1,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.66?lang=bi
2025-11-29,81,Positive 67,"We are commanded with the process of the meal-offering sacrifices, according to the description that is mentioned for each and every type.",Vayikra 1:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.67?lang=bi
2025-11-29,82,Positive 68,We are commanded that the court should offer a sacrifice if they erred in a directive.,Shemos 12:6,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.68?lang=bi
2025-11-30,83,Positive 69,We are commanded that anyone who erred in a sin and is an individual offer a sin-offering sacrifice.,Shemos 22:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.69?lang=bi
2025-11-30,84,Positive 70,"We are commanded to offer a sacrifice when a doubt arises about one of the big sins for which we are liable excision when volitional, and a fixed sin-offering when inadvertent.",Vayikra 5:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.70?lang=bi
2025-12-01,85,Positive 71,We are commanded that one who does certain sins must offer a guilt-offering sacrifice.,Vayikra 5:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.71?lang=bi
2025-12-01,86,Positive 72,We are commanded regarding the Temple.,Bamidbar 18:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.72?lang=bi
2025-12-02,87,Positive 73,We are commanded to confess the transgressions and sins that we have done before G-d and to say them together with [our] repentance.,Bamidbar 18:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.73?lang=bi
2025-12-02,88,Positive 74,We are commanded that any man who is healed from a discharge offer a sacrifice.,Shemos 12:46,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.74?lang=bi
2025-12-03,89,Positive 75,We are commanded that any woman who is healed from a discharge offer a sacrifice and that is two turtledoves or two young pigeons.,Vayikra 15:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.75?lang=bi
2025-12-03,90,Positive 76,"We are commanded that any woman after childbirth offer a sacrifice and that is a one-year old lamb as a burnt-offering, and a young pigeon or a turtledove as a sin-offering.",Vayikra 12:6,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.76?lang=bi
2025-12-04,91,Positive 77,We are commanded that someone with <i>tzaraas</i> offer a sacrifice when he is healed from it.,Devarim 12:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.77?lang=bi
2025-12-04,92,Positive 78,"We are commanded to extract a tenth of the animals that are born to us each year, to offer their fat and blood and to eat the rest in Jerusalem.",Devarim 14:22,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.78?lang=bi
2025-12-05,93,Positive 79,"We are commanded to consecrate firstborn animals meaning, to separate and designate them for what is appropriate for one to do with them.",Bamidbar 18:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.79?lang=bi
2025-12-05,94,Positive 80,"We are commanded to redeem the firstborn man, that we should give the money to the priest.",Bamidbar 18:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.80?lang=bi
2025-12-06,95,Positive 81,"We are commanded that we should redeem the [firstborn] donkey specifically with a sheep, and it should not be redeemed with anything else.",Shemos 13:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.81?lang=bi
2025-12-06,96,Positive 82,We are commanded to behead the [firstborn] donkey if we do not redeem it.,Shemos 13:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.82?lang=bi
2025-12-07,97,Positive 83,"We are commanded to bring all of the sacrifices that are incumbent upon one during the first holiday of the three pilgrim holidays that we encounter, such that none of the three pilgrim holidays pass without each one of us sacrificing any sacrifice that he is obligated.",Devarim 16:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.83?lang=bi
2025-12-07,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Devarim 12:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.84?lang=bi
2025-12-08,99,Positive 85,"We are commanded to bring any sin-offering, burnt-offering, guilt-offering and peace-offerings, which we are obligated, to the [Temple].",Vayikra 12:6,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.85?lang=bi
2025-12-08,100,Positive 86,"We are commanded to redeem consecrated animals which have developed blemishes, such that it becomes mundane and permissible to slaughter and eat it.",Devarim 12:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.86?lang=bi
2025-12-09,101,Positive 87,We are commanded that the substitute [of a consecrated item] be consecrated.,Vayikra 27:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.87?lang=bi
2025-12-09,102,Positive 88,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.88?lang=bi
2025-12-10,103,Positive 89,We are commanded regarding the Temple.,Bamidbar 18:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.89?lang=bi
2025-12-10,104,Positive 90,We are commanded regarding priestly service.,Shemos 28:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.90?lang=bi
2025-12-11,105,Positive 91,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.91?lang=bi
2025-12-11,106,Positive 92,We are commanded that a nazarite should grow his hair.,Vayikra 6:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.92?lang=bi
2025-12-12,107,Positive 93,We are commanded to shave the nazarite's head and to bring his sacrifices at the culmination of his nazariteship.,Bamidbar 6:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.93?lang=bi
2025-12-12,108,Positive 94,"We are commanded to fulfill everything that we we take upon ourselves in speech, whether in an oath, a vow, charity, a sacrifice or anything else besides them.",Bamidbar 30:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.94?lang=bi
2025-12-13,109,Positive 95,We are commanded to administer the nullification of vows meaning the precept that He instructed us about these laws.,Devarim 31:12,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.95?lang=bi
2025-12-13,110,Positive 96,"We are commanded that when any person touches a carcass, he becomes impure.",Vayikra 7:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.96?lang=bi
2025-12-14,111,Positive 97,We are commanded to [administer the laws of impurity] of eight creeping creatures.,Bamidbar 19:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.97?lang=bi
2025-12-14,112,Positive 98,We are commanded to administer [the laws of] impurity of foods and drinks.,Bamidbar 19:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.98?lang=bi
2025-12-15,113,Positive 99,We are commanded that a menstruant woman be impure.,Vayikra 15:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.99?lang=bi
2025-12-15,114,Positive 100,We are commanded that a woman after childbirth be impure.,Devarim 26:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.100?lang=bi
2025-12-16,115,Positive 101,We are commanded that a <i>metzora</i> be impure.,Vayikra 15:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.101?lang=bi
2025-12-16,116,Positive 102,"We are commanded to administer the laws of the impurity of a garment that has <i>tzaraas</i>, such that it be impure.",Bamidbar 19:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.102?lang=bi
2025-12-17,117,Positive 103,We are commanded that a house that has <i>tzaraas</i> be impure.,Shemos 22:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.103?lang=bi
2025-12-17,118,Positive 104,We are commanded that a <i>zav</i> be impure.,Devarim 26:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.104?lang=bi
2025-12-18,119,Positive 105,We are commanded that semen be impure.,Devarim 26:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.105?lang=bi
2025-12-18,120,Positive 106,We are commanded that a <i>zavah</i> be impure.,Devarim 26:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.106?lang=bi
2025-12-19,121,Positive 107,We are commanded to administer [the laws of] the impurity of a corpse.,Bamidbar 19:14,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.107?lang=bi
2025-12-19,122,Positive 108,"We are commanded and instructed us [to administer] the laws of purification water, about which they said that it renders impure in one way and purifies in another way as is explained in the analysis of this commandment.",Bamidbar 19:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.108?lang=bi
2025-12-20,123,Positive 109,"We are commanded that we immerse in the mikveh waters, and that we then become pure from one of the various types of impurities with which we have become impure.",Bamidbar 5:6-7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.109?lang=bi
2025-12-20,124,Positive 110,We are commanded that the purification from <i>tzaraas</i> be according to the process written in Scripture (Leviticus 14).,Shemos 23:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.110?lang=bi
2025-12-21,125,Positive 111,We are commanded regarding sacrificial offerings.,Vayikra 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.111?lang=bi
2025-12-21,126,Positive 112,"We are commanded that a <i>metzora</i> (a person with <i>tsaarat</i>) be known to all, such that people will separate from him.",Vayikra 5:15-16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.112?lang=bi
2025-12-22,127,Positive 113,"We are commanded to process the red heifer, so that its ashes be ready for one who needs it for purification from the impurity of a corpse as He said, ""and it shall be for the congregation of the Children of Israel"" (Numbers 19:9).",Bamidbar 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.113?lang=bi
2025-12-22,128,Positive 114,We are commanded to administer the law of human appraisals.,Shemos 23:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.114?lang=bi
2025-12-23,129,Positive 115,We are commanded with the law of animal appraisals.,Vayikra 25:24,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.115?lang=bi
2025-12-23,130,Positive 116,We are commanded about house appraisals.,Bamidbar 6:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.116?lang=bi
2025-12-24,131,Positive 117,We are commanded about field appraisals.,Vayikra 19:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.117?lang=bi
2025-12-24,132,Positive 118,"We are commanded that anyone who benefits from consecrated property add a fifth; likewise if he eats consecrated food meaning if [a non-priest] ate from the priestly tithe inadvertently, he pays for what he ate or the measure of what he benefitted, with the addition of a fifth.",Vayikra 27:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.118?lang=bi
2025-12-25,133,Positive 119,We are commanded that the sapling of the fourth year be completely holy.,Devarim 15:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.119?lang=bi
2025-12-25,134,Positive 120,"We are commanded to leave over the corner of the produce, the trees and that which is similar to them.",Devarim 16:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.120?lang=bi
2025-12-26,135,Positive 121,We are commanded to leave over the gleanings.,Vayikra 19:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.121?lang=bi
2025-12-26,136,Positive 122,We are commanded to leave over the forgotten [produce].,Bamidbar 18:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.122?lang=bi
2025-12-27,137,Positive 123,We are commanded to leave over that which is called <i>ollalot</i> (incomplete clusters) for the poor when we harvest the vineyard.,Vayikra 19:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.123?lang=bi
2025-12-27,138,Positive 124,"We are commanded to leave over for the poor, that which falls and breaks off from the grapes when we harvest them.",Vayikra 25:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.124?lang=bi
2025-12-28,139,Positive 125,We are commanded to extract the first-fruits and bring them to the Temple.,Shemos 23:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.125?lang=bi
2025-12-28,140,Positive 126,We are commanded to extract the great (priestly) tithe (<i>terumah gedolah</i>).,Devarim 12:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.126?lang=bi
2025-12-29,141,Positive 127,We are commanded to extract the tithe from agricultural produce.,Devarim 14:28,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.127?lang=bi
