Date,Mitzvos,English Title(s),Source,Sefaria_Link,Sefaria_Link
2025-11-13,14,To love converts,Devarim 10:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi
2025-11-14,15,Not to hate fellow Jews,Vayikra 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.15?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.15?lang=bi
2025-11-15,16,To reprove wrongdoers,Vayikra 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi
2025-11-16,17,Not to embarrass others,Vayikra 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.17?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.17?lang=bi
2025-11-17,18,Not to oppress the weak,Shemos 22:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.18?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.18?lang=bi
2025-11-18,19,Not to gossip about others,Vayikra 19:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.19?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.19?lang=bi
2025-11-19,20,Not to take revenge,Vayikra 19:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.20?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.20?lang=bi
2025-11-20,21,Not to bear a grudge,Vayikra 19:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.21?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.21?lang=bi
2025-11-21,22,To learn Torah and teach it,Devarim 6:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi
2025-11-22,23,To honor those who teach and know Torah,Vayikra 19:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi
2025-11-23,24,Not to inquire into idolatry,Vayikra 19:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.24?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.24?lang=bi
2025-11-24,25,Not to follow the whims of your heart or what your eyes see,Bamidbar 15:39,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.25?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.25?lang=bi
2025-11-25,26,Not to blaspheme,Shemos 22:27,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.26?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.26?lang=bi
2025-11-26,27,Not to worship idols in the manner they are worshiped,Shemos 20:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.27?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.27?lang=bi
2025-11-27,28,Not to bow down to idols,Shemos 20:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.28?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.28?lang=bi
2025-11-28,29,Not to make an idol for yourself,Shemos 20:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.29?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.29?lang=bi
2025-11-29,30,Not to make an idol for others,Vayikra 19:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.30?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.30?lang=bi
2025-11-30,31,Not to make human forms even for decorative purposes,Shemos 20:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.31?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.31?lang=bi
2025-12-01,32,Not to turn a city to idolatry,Shemos 23:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.32?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.32?lang=bi
2025-12-02,33,To burn a city that has turned to idol worship,Devarim 13:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.33?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.33?lang=bi
2025-12-03,34,Not to rebuild it as a city,Devarim 13:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.34?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.34?lang=bi
2025-12-04,35,Not to derive benefit from it,Devarim 13:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.35?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.35?lang=bi
2025-12-05,36,Not to missionize an individual to idol worship,Devarim 13:12,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.36?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.36?lang=bi
2025-12-06,37,Not to love the missionary,Devarim 13:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.37?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.37?lang=bi
2025-12-07,38,Not to cease hating the missionary,Devarim 13:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.38?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.38?lang=bi
2025-12-08,39,Not to save the missionary,Devarim 13:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.39?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.39?lang=bi
2025-12-09,40,Not to say anything in his defense,Devarim 13:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.40?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.40?lang=bi
2025-12-10,41,Not to refrain from incriminating him,Devarim 13:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.41?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.41?lang=bi
2025-12-11,42,Not to prophesize in the name of idolatry,Devarim 18:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.42?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.42?lang=bi
2025-12-12,43,Not to listen to a false prophet,Devarim 13:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.43?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.43?lang=bi
2025-12-13,44,Not to prophesize falsely in the name of G‑d,Devarim 18:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.44?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.44?lang=bi
2025-12-14,45,Not to be afraid of killing the false prophet,Devarim 18:22,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.45?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.45?lang=bi
2025-12-15,46,Not to swear in the name of an idol,Shemos 23:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.46?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.46?lang=bi
2025-12-16,47,Not to perform Ov (medium),Vayikra 19:31,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.47?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.47?lang=bi
2025-12-17,48,Not to perform Yidoni (magical seer),Vayikra 19:31,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.48?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.48?lang=bi
2025-12-18,49,Not to pass your children through the fire to Molech,Vayikra 18:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.49?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.49?lang=bi
2025-12-19,50,Not to erect a column in a public place of worship,Devarim 16:22,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.50?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.50?lang=bi
2025-12-20,51,Not to bow down on smooth stone,Vayikra 26:1,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.51?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.51?lang=bi
2025-12-21,52,Not to plant a tree in the Temple courtyard,Devarim 16:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.52?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.52?lang=bi
2025-12-22,53,To destroy idols and their accessories,Devarim 12:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.53?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.53?lang=bi
2025-12-23,54,Not to derive benefit from idols and their accessories,Devarim 7:26,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.54?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.54?lang=bi
2025-12-24,55,Not to derive benefit from ornaments of idols,Devarim 7:25,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.55?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.55?lang=bi
2025-12-25,56,Not to make a covenant with idolaters,Devarim 7:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.56?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.56?lang=bi
2025-12-26,57,Not to show favor to them,Devarim 7:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.57?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.57?lang=bi
2025-12-27,58,Not to let them dwell in our land,Shemos 23:33,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.58?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.58?lang=bi
2025-12-28,59,Not to imitate them in customs and clothing,Vayikra 20:23,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.59?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.59?lang=bi
2025-12-29,60,Not to be superstitious,Vayikra 19:26,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.60?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.60?lang=bi
2025-12-30,61,"Not to go into a trance to foresee events, etc.",Devarim 18:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.61?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.61?lang=bi
2025-12-31,62,Not to engage in astrology,Vayikra 19:26,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.62?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.62?lang=bi
2026-01-01,63,Not to mutter incantations,Devarim 18:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.63?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.63?lang=bi
2026-01-02,64,Not to attempt to engage the dead in conversation,Devarim 18:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.64?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.64?lang=bi
2026-01-03,65,Not to consult the Ov,Devarim 18:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.65?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.65?lang=bi
2026-01-04,"66, 67",Not to consult the Yidoni & Not to perform acts of magic,Devarim 18:11 & Devarim 18:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.66?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.67?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.66?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.67?lang=bi
2026-01-05,"68, 69",Men must not shave the hair off the sides of their head & Men must not shave their beards with a razor,Vayikra 19:27 & Vayikra 19:27,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.68?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.69?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.68?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.69?lang=bi
2026-01-06,"70, 71",Men must not wear women's clothing & Women must not wear men's clothing,Devarim 22:5 & Devarim 22:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.70?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.71?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.70?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.71?lang=bi
2026-01-07,"72, 73",Not to tattoo the skin & Not to tear the skin in mourning,Vayikra 19:28 & Devarim 14:1,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.72?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.73?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.72?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.73?lang=bi
2026-01-08,"74, 75",Not to make a bald spot in mourning & To repent and confess wrongdoings,Devarim 14:1 & Bamidbar 5:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.74?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.75?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.74?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.75?lang=bi
2026-01-09,"76, 77",To say the Shema twice daily & To serve the Almighty with prayer daily,Devarim 6:7 & Shemos 23:25,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.76?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.77?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.76?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.77?lang=bi
2026-01-10,"78, 79",The Kohanim must bless the Jewish nation daily & To wear Tefillin on the head,Bamidbar 6:23 & Devarim 6:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.78?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.79?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.78?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.79?lang=bi
2026-01-11,"80, 81",To bind tefillin on the arm & To put a Mezuzah on each door post,Devarim 6:8 & Devarim 6:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.80?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.81?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.80?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.81?lang=bi
2026-01-12,"82, 83",To write a Sefer Torah & The king must have a separate Sefer Torah for himself,Devarim 31:19 & Devarim 17:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.82?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.83?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.82?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.83?lang=bi
2026-01-13,"84, 85",To have Tzitzit on four-cornered garments & To bless the Almighty after eating,Bamidbar 15:38 & Devarim 8:10,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.84?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.85?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.84?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.85?lang=bi
2026-01-14,"86, 87",To circumcise all males on the eighth day after their birth & To rest on the seventh day,Vayikra 12:3 & Shemos 23:12,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.86?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.87?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.86?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.87?lang=bi
2026-01-15,"88, 89",Not to do prohibited labor on the seventh day & The court must not inflict punishment on Shabbat,Shemos 20:10 & Shemos 35:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.88?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.89?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.88?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.89?lang=bi
2026-01-16,"90, 91",Not to walk more than 2000 cubits outside the city boundary on Shabbat & To sanctify the day with Kiddush and Havdalah,Shemos 16:29 & Shemos 20:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.90?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.91?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.90?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.91?lang=bi
2026-01-17,"92, 93",To rest from prohibited labor on Yom Kippur & Not to do prohibited labor on Yom Kippur,Vayikra 23:32 & Vayikra 23:31,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.92?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.93?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.92?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.93?lang=bi
2026-01-18,"94, 95",To afflict yourself on Yom Kippur & Not to eat or drink on Yom Kippur,Vayikra 16:29 & Vayikra 23:29,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.94?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.95?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.94?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.95?lang=bi
2026-01-19,"96, 97",To rest on the first day of Passover & Not to do prohibited labor on the first day of Passover,Vayikra 23:8 & Vayikra 23:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.96?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.97?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.96?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.97?lang=bi
2026-01-20,"98, 99",To rest on the seventh day of Passover & Not to do prohibited labor on the seventh day of Passover,Vayikra 23:8 & Vayikra 23:8,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.98?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.99?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.98?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.99?lang=bi
2026-01-21,"100, 101",To rest on Shavuot & Not to do prohibited labor on Shavuot,Vayikra 23:21 & Vayikra 23:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.100?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.101?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.100?lang=bi & https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.101?lang=bi
