Analysis_Type,Schedule_Num,Schedule_Type,Schedule_Summary,Schedule_Source,Master_Num,Master_Mitzvah,Master_Source,Shared_Concepts,Text_Similarity,Source_Match,Notes
Source_Mismatch,404,Negative 141,"We are prohibited from eating the second tithe from grain, outside of Jerusalem.",Bamidbar 29:8,267,Not to eat Second Tithe oil outside Jerusalem,Devarim 12:17,dietary,0.640,False,NEEDS VERIFICATION
Source_Mismatch,404,Negative 141,"We are prohibited from eating the second tithe from grain, outside of Jerusalem.",Bamidbar 29:8,266,Not to eat Second Tithe wine products outside Jerusalem,Devarim 12:17,dietary,0.593,False,NEEDS VERIFICATION
Source_Mismatch,407,Negative 144,Not to eat sacrifices which have become unfit or blemished,Devarim 14:3,396,Not to eat from sacrifices which became impure,Vayikra 7:19,dietary,0.712,False,NEEDS VERIFICATION
Source_Mismatch,407,Negative 144,Not to eat sacrifices which have become unfit or blemished,Devarim 14:3,394,Not to leave sacrifices past the time allowed for eating them,Vayikra 22:30,dietary,0.555,False,NEEDS VERIFICATION
Source_Mismatch,408,Negative 145,We are prohibited from eating the sin-offering and the guilt-offering outside of the [Temple] courtyard.,Vayikra 7:18,357,The Kohanim must not eat the meat outside the Temple courtyard,Devarim 12:17,dietary; temple,0.590,False,NEEDS VERIFICATION
Source_Mismatch,409,Negative 146,We are prohibited from eating the meat of a burnt-offering.,Vayikra 22:30,353,Not to eat the meat of the inner sin offering,Vayikra 6:23,dietary,0.577,False,NEEDS VERIFICATION
Source_Mismatch,409,Negative 146,We are prohibited from eating the meat of a burnt-offering.,Vayikra 22:30,366,The Kohanim must eat the remains of the meal offerings,Vayikra 6:9,dietary,0.513,False,NEEDS VERIFICATION
Source_Mismatch,412,Negative 149,We are prohibited from he prohibited the priests from eating firstfruits outside [of jerusalem].,Vayikra 7:20,271,The Kohanim must not eat the first fruits outside Jerusalem,Devarim 12:17,dietary,0.555,False,NEEDS VERIFICATION
Source_Mismatch,415,Negative 152,We are prohibited from spending the [redemption] money of second tithe except for food and drink.,Vayikra 16:3,262,"Not to spend its redemption money on anything but food, drink, or ointment",Devarim 26:14,dietary,0.526,False,NEEDS VERIFICATION
Source_Mismatch,423,Negative 160,We are prohibited from a priest - that he not take (marry) a divorcee.,Shemos 12:8,172,A Kohen must not marry a divorcee,Vayikra 21:7,priestly,0.563,False,NEEDS VERIFICATION
Source_Mismatch,423,Negative 160,We are prohibited from a priest - that he not take (marry) a divorcee.,Shemos 12:8,169,The High Priest must not marry a widow,Vayikra 21:14,priestly,0.519,False,NEEDS VERIFICATION
Source_Mismatch,424,Negative 161,We are prohibited from eating consecrated meat that became impure.,Bamidbar 9:11,396,Not to eat from sacrifices which became impure,Vayikra 7:19,dietary,0.518,False,NEEDS VERIFICATION
Source_Mismatch,425,Negative 162,"We are prohibited from a high priest - that he not have sexual relations with a widow, even without marriage.",Shemos 12:9,170,The High Priest must not have sexual relations with a widow even outside of marriage,Vayikra 21:14,priestly,0.746,False,NEEDS VERIFICATION
Source_Mismatch,434,Negative 171,Not to leave the meat of the holiday offering of the 14th until the 16th,Devarim 16:4,417,Not to leave any meat from the Paschal offering over until morning,Shemos 12:10,dietary,0.667,False,NEEDS VERIFICATION
Source_Mismatch,434,Negative 171,Not to leave the meat of the holiday offering of the 14th until the 16th,Devarim 16:4,353,Not to eat the meat of the inner sin offering,Vayikra 6:23,dietary,0.615,False,NEEDS VERIFICATION
Source_Mismatch,445,Negative 182,We are prohibited from eating a limb from a living animal.,Vayikra 27:33,191,Not to eat a limb torn off a living creature,Devarim 12:23,dietary,0.510,False,NEEDS VERIFICATION
Source_Mismatch,452,Negative 189,We are prohibited from eating bread made from the new grain before the completion of the sixteenth day of Nissan.,Vayikra 12:6,197,Not to eat bread from new grain before the Omer,Vayikra 23:14,dietary,0.525,False,NEEDS VERIFICATION
Source_Mismatch,453,Negative 190,We are prohibited from eating parched grain made from the new grain before the end of the sixteenth day of Nissan.,Vayikra 15:13-14,198,Not to eat parched grains from new grain before the Omer,Vayikra 23:14,dietary,0.565,False,NEEDS VERIFICATION
Source_Mismatch,453,Negative 190,We are prohibited from eating parched grain made from the new grain before the end of the sixteenth day of Nissan.,Vayikra 15:13-14,199,Not to eat ripened grains from new grain before the Omer,Vayikra 23:14,dietary,0.518,False,NEEDS VERIFICATION
Source_Mismatch,455,Negative 192,We are prohibited from eating <i>orlah</i> (fruit of trees during their first three years).,Vayikra 27:10,200,Not to eat fruit of a tree during its first three years,Vayikra 19:23,dietary,0.644,False,NEEDS VERIFICATION
Source_Mismatch,462,Negative 199,We are prohibited from eating chametz after midday of the fourteenth day of Nissan.,Devarim 24:8,108,Not to eat Chametz on the afternoon of the 14th day of Nissan,Devarim 16:3,dietary,0.611,False,NEEDS VERIFICATION
Source_Mismatch,504,Negative 241,"We are prohibited from taking collateral from a widow - whether poor or rich - as it is stated (Devarim 24:17), ""you shall not take a widow’s garment in pawn.",Vayikra 19:16,318,The Kohanim must wear their priestly garments during service,Shemos 28:2,tzitzit; tefillin,0.229,False,NEEDS VERIFICATION
Source_Mismatch,550,Negative 287,Not to borrow with interest,Devarim 23:20,534,Not to lend with interest,Vayikra 25:37,sabbath,0.808,False,NEEDS VERIFICATION
Source_Mismatch,550,Negative 287,Not to borrow with interest,Devarim 23:20,537,Lend to and borrow from idolaters with interest,Devarim 23:21,sabbath,0.676,False,NEEDS VERIFICATION
Source_Mismatch,583,Negative 320,Not to curse the head of state or leader of the Sanhedrin,Shemos 22:27,68,Men must not shave the hair off the sides of their head,Vayikra 19:27,tefillin,0.554,False,NEEDS VERIFICATION
Source_Mismatch,587,Negative 324,We are prohibited from doing work on the the seventh day of pesach.,Bamidbar 35:30,99,Not to do prohibited labor on the seventh day of Passover,Vayikra 23:8,sabbath,0.645,False,NEEDS VERIFICATION
Source_Mismatch,587,Negative 324,We are prohibited from doing work on the the seventh day of pesach.,Bamidbar 35:30,88,Not to do prohibited labor on the seventh day,Shemos 20:10,sabbath,0.607,False,NEEDS VERIFICATION
Source_Mismatch,587,Negative 324,We are prohibited from doing work on the the seventh day of pesach.,Bamidbar 35:30,98,To rest on the seventh day of Passover,Vayikra 23:8,sabbath,0.552,False,NEEDS VERIFICATION
Source_Mismatch,622,Negative 359,Appoint a priest to speak with the soldiers during the war,Devarim 20:2,325,A Kohen must not leave the Temple during service,Vayikra 10:7,priestly,0.509,False,NEEDS VERIFICATION
Source_Mismatch,625,Negative 362,Not to panic and retreat during battle,Devarim 20:3,351,Not to eat its meat,Devarim 12:17,dietary,0.526,False,NEEDS VERIFICATION
Source_Mismatch,625,Negative 362,Not to panic and retreat during battle,Devarim 20:3,200,Not to eat fruit of a tree during its first three years,Vayikra 19:23,dietary,0.516,False,NEEDS VERIFICATION
""
=== HIGH CONFIDENCE MATCHES ===
High_Confidence,15,Positive 1,To know there is a G‑d,Shemos 20:2,1,To know there is a G‑d,Shemos 20:2,deity,1.000,True,Good Match
High_Confidence,19,Positive 5,We are commanded to serve G-d through prayer.,Devarim 10:20,77,To serve the Almighty with prayer daily,Shemos 23:25,deity; worship,0.476,False,Good Match - CHECK SOURCE
High_Confidence,33,Positive 19,We are commanded to bless Him after eating.,Vayikra 19:16,85,To bless the Almighty after eating,Devarim 8:10,priestly; dietary,0.623,False,Good Match - CHECK SOURCE
High_Confidence,49,Positive 35,"We are commanded that we have oil made according to the special recipe, ready to anoint the high priest when he is appointed as He said, ""The priest who is exalted above his fellows, on whose head the anointing oil has been poured"" (Vayikra 21:10).",Devarim 13:18,318,The Kohanim must wear their priestly garments during service,Shemos 28:2,priestly; tefillin,0.247,False,Good Match - CHECK SOURCE
High_Confidence,67,Positive 53,We are commanded to appear [at the Temple] on festivals.,Devarim 12:2,423,Not to appear at the Temple without offerings,Devarim 16:16,temple,0.594,False,Good Match - CHECK SOURCE
High_Confidence,72,Positive 58,We are commanded to eat from the meat of the second-Pesach offering on the night of the fifteenth of Iyar over matzah and bitter herbs.,Shemos 23:33,409,To eat the second Paschal Lamb on the night of the 15th of Iyar,Bamidbar 9:11,dietary,0.535,False,Good Match - CHECK SOURCE
High_Confidence,86,Positive 72,We are commanded regarding the Temple.,Vayikra 19:28,305,To guard the Temple area,Bamidbar 18:3,temple,0.516,False,Good Match - CHECK SOURCE
High_Confidence,86,Positive 72,We are commanded regarding the Temple.,Vayikra 19:28,329,Impure Kohanim must not do service in the temple,Vayikra 22:2,temple,0.512,False,Good Match - CHECK SOURCE
High_Confidence,86,Positive 72,We are commanded regarding the Temple.,Vayikra 19:28,369,To offer all sacrifices in the Temple,Devarim 12:11,temple,0.507,False,Good Match - CHECK SOURCE
High_Confidence,94,Positive 80,"We are commanded to redeem the firstborn man, that we should give the money to the priest.",Devarim 6:8,276,To redeem the firstborn sons and give the money to a Kohen,Bamidbar 18:15,priestly,0.649,False,Good Match - CHECK SOURCE
High_Confidence,94,Positive 80,"We are commanded to redeem the firstborn man, that we should give the money to the priest.",Devarim 6:8,277,To redeem the firstborn donkey by giving a lamb to a Kohen,Shemos 13:13,priestly,0.527,False,Good Match - CHECK SOURCE
High_Confidence,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Bamidbar 15:38,369,To offer all sacrifices in the Temple,Devarim 12:11,temple,0.733,False,Good Match - CHECK SOURCE
High_Confidence,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Bamidbar 15:38,356,The Kohanim must eat the sacrificial meat in the Temple,Shemos 29:33,temple,0.588,False,Good Match - CHECK SOURCE
High_Confidence,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Bamidbar 15:38,370,To bring all sacrifices from outside Israel to the Temple,Devarim 12:26,temple,0.529,False,Good Match - CHECK SOURCE
High_Confidence,102,Positive 88,We are commanded regarding the service of Levites in the Temple.,Shemos 20:10,356,The Kohanim must eat the sacrificial meat in the Temple,Shemos 29:33,temple,0.538,False,Good Match - CHECK SOURCE
High_Confidence,102,Positive 88,We are commanded regarding the service of Levites in the Temple.,Shemos 20:10,329,Impure Kohanim must not do service in the temple,Vayikra 22:2,temple,0.518,False,Good Match - CHECK SOURCE
High_Confidence,102,Positive 88,We are commanded regarding the service of Levites in the Temple.,Shemos 20:10,314,The Levites must work in the Temple,Bamidbar 18:23,temple,0.505,False,Good Match - CHECK SOURCE
High_Confidence,103,Positive 89,We are commanded regarding the Temple.,Shemos 35:3,305,To guard the Temple area,Bamidbar 18:3,temple,0.516,False,Good Match - CHECK SOURCE
