Date,Mitzvos,English Title(s),Source
2026-06-10,"380, 381",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-06-11,"382, 383",To love your fellow & Not to hate him,Vayikra 19:18
2026-06-12,"384, 385",Not to bear a grudge & Not to take revenge,Vayikra 19:18
2026-06-13,"386, 387",Not to oppress the deaf & blind & Not to mislead,"Vayikra 19:14, 19:16"
2026-06-14,"388, 389",Not to gossip & Not to slander,Vayikra 19:16–17
2026-06-15,"390, 391",Not to take revenge & Not to bear a grudge,Vayikra 19:18
2026-06-16,"392, 393",Not to curse the deaf & blind & Not to place a stumbling block,"Vayikra 19:14, 19:15"
2026-06-17,"394, 395",Not to steal & Not to rob,Shemos 22:1–3
2026-06-18,"396, 397",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-06-19,"398, 399",Not to withhold wages & Not to cheat in weights & measures,"Vayikra 19:35–36, 19:13"
2026-06-20,"400, 401",Not to curse judges & officers & Not to pervert justice,Devarim 16:18–19
2026-06-21,"402, 403",Not to accept bribes & Not to oppress strangers,"Devarim 16:19, 24:17"
2026-06-22,"404, 405",Not to wrong converts & strangers & To leave gifts for the poor,"Devarim 24:17, Vayikra 19:9"
2026-06-23,"406, 407",Not to take forgotten sheaves & fallen grapes & Not to take interest,"Devarim 24:19–20, Shemos 22:24"
2026-06-24,"408, 409",To return collateral & Not to ignore a pledge,"Shemos 22:25, 23:4"
2026-06-25,"410, 411",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-06-26,"412, 413",To love your fellow & Not to hate him,Vayikra 19:18
2026-06-27,"414, 415",Not to bear a grudge & Not to take revenge,Vayikra 19:18
2026-06-28,"416, 417",Not to oppress the deaf & blind & Not to mislead,"Vayikra 19:14, 19:16"
2026-06-29,"418, 419",Not to gossip & Not to slander,Vayikra 19:16–17
2026-06-30,"420, 421",Not to take revenge & Not to bear a grudge,Vayikra 19:18
2026-07-01,"422, 423",Not to curse the deaf & blind & Not to place a stumbling block,"Vayikra 19:14, 19:15"
2026-07-02,"424, 425",Not to steal & Not to rob,Shemos 22:1–3
2026-07-03,"426, 427",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-07-04,"428, 429",Not to withhold wages & Not to cheat in weights & measures,"Vayikra 19:35–36, 19:13"
2026-07-05,"430, 431",Not to curse judges & officers & Not to pervert justice,Devarim 16:18–19
2026-07-06,"432, 433",Not to accept bribes & Not to oppress strangers,"Devarim 16:19, 24:17"
2026-07-07,"434, 435",Not to wrong converts & strangers & To leave gifts for the poor,"Devarim 24:17, Vayikra 19:9"
2026-07-08,"436, 437",Not to take forgotten sheaves & fallen grapes & Not to take interest,"Devarim 24:19–20, Shemos 22:24"
2026-07-09,"438, 439",To return collateral & Not to ignore a pledge,"Shemos 22:25, 23:4"
2026-07-10,"440, 441",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-07-11,"442, 443",To love your fellow & Not to hate him,Vayikra 19:18
2026-07-12,"444, 445",Not to bear a grudge & Not to take revenge,Vayikra 19:18
2026-07-13,"446, 447",Not to oppress the deaf & blind & Not to mislead,"Vayikra 19:14, 19:16"
2026-07-14,"448, 449",Not to gossip & Not to slander,Vayikra 19:16–17
2026-07-15,"450, 451",Not to take revenge & Not to bear a grudge,Vayikra 19:18
2026-07-16,"452, 453",Not to curse the deaf & blind & Not to place a stumbling block,"Vayikra 19:14, 19:15"
2026-07-17,"454, 455",Not to steal & Not to rob,Shemos 22:1–3
2026-07-18,"456, 457",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-07-19,"458, 459",Not to withhold wages & Not to cheat in weights & measures,"Vayikra 19:35–36, 19:13"
2026-07-20,"460, 461",Not to curse judges & officers & Not to pervert justice,Devarim 16:18–19
2026-07-21,"462, 463",Not to accept bribes & Not to oppress strangers,"Devarim 16:19, 24:17"
2026-07-22,"464, 465",Not to wrong converts & strangers & To leave gifts for the poor,"Devarim 24:17, Vayikra 19:9"
2026-07-23,"466, 467",Not to take forgotten sheaves & fallen grapes & Not to take interest,"Devarim 24:19–20, Shemos 22:24"
2026-07-24,"468, 469",To return collateral & Not to ignore a pledge,"Shemos 22:25, 23:4"
2026-07-25,"470, 471",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-07-26,"472, 473",To love your fellow & Not to hate him,Vayikra 19:18
2026-07-27,"474, 475",Not to bear a grudge & Not to take revenge,Vayikra 19:18
2026-07-28,"476, 477",Not to oppress the deaf & blind & Not to mislead,"Vayikra 19:14, 19:16"
2026-07-29,"478, 479",Not to gossip & Not to slander,Vayikra 19:16–17
2026-07-30,"480, 481",Not to take revenge & Not to bear a grudge,Vayikra 19:18
2026-07-31,"482, 483",Not to curse the deaf & blind & Not to place a stumbling block,"Vayikra 19:14, 19:15"
2026-08-01,"484, 485",Not to steal & Not to rob,Shemos 22:1–3
2026-08-02,"486, 487",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-08-03,"488, 489",Not to withhold wages & Not to cheat in weights & measures,"Vayikra 19:35–36, 19:13"
2026-08-04,"490, 491",Not to curse judges & officers & Not to pervert justice,Devarim 16:18–19
2026-08-05,"492, 493",Not to accept bribes & Not to oppress strangers,"Devarim 16:19, 24:17"
2026-08-06,"494, 495",Not to wrong converts & strangers & To leave gifts for the poor,"Devarim 24:17, Vayikra 19:9"
2026-08-07,"496, 497",Not to take forgotten sheaves & fallen grapes & Not to take interest,"Devarim 24:19–20, Shemos 22:24"
2026-08-08,"498, 499",To return collateral & Not to ignore a pledge,"Shemos 22:25, 23:4"
2026-08-09,"500, 501",Not to kidnap & Not to oppress strangers,"Shemos 21:16, 22:21"
2026-08-10,"502, 503",To rest on Shabbat & Not to work on Shabbat,Shemos 20:8–10
2026-08-11,"504, 505",To sanctify festivals & To observe Pesach,"Vayikra 23:2, Shemos 12:17"
2026-08-12,"506, 507",To eat matzah on Pesach & Not to eat chametz,Shemos 12:18–20
2026-08-13,"508, 509",To tell the story of Exodus & Not to break bones of korban Pesach,"Shemos 13:8, Vayikra 7:20"
2026-08-14,"510, 511",To observe Shavuot & To bring the Omer offering,"Bamidbar 28:26, 28:27"
2026-08-15,"512, 513",To observe Rosh Hashanah & To blow the shofar,Vayikra 23:23–25
2026-08-16,"514, 515",To observe Yom Kippur & To afflict oneself on Yom Kippur,Vayikra 16:29–31
2026-08-17,"516, 517",To observe Sukkot & To take the four species,Vayikra 23:34–40
2026-08-18,"518, 519",To dwell in a sukkah & Not to perform forbidden labor,Vayikra 23:42–44
2026-08-19,"520, 521",To hear the shofar on Rosh Hashanah & Not to work Yom Tov,Vayikra 23:24–25
2026-08-20,"522, 523",To give the half-shekel & To set aside gifts for the Temple,Shemos 30:13–16
2026-08-21,"524, 525",To bring daily offerings & To offer Shabbat offerings,Bamidbar 28:1–10
2026-08-22,"526, 527",To bring Rosh Chodesh offerings & To bring Pesach offerings,Bamidbar 28:11–25
2026-08-23,"528, 529",To bring Shavuot offerings & To bring Yom Kippur offerings,"Bamidbar 28:26–29, 29:7–11"
2026-08-24,"530, 531",To bring Sukkot offerings & To bring Shemini Atzeret offerings,Bamidbar 29:12–34
2026-08-25,"532, 533",Not to sacrifice outside the Temple & To follow sacrificial laws,Vayikra 17:3–7
2026-08-26,"534, 535",To slaughter sacrifices properly & Not to eat non-kosher meat,"Vayikra 1:5, Vayikra 7:18"
2026-08-27,"536, 537",Not to eat blood & To remove blood from meat,Vayikra 17:10–14
2026-08-28,"538, 539",To offer first fruits & To honor the priests,"Vayikra 23:10–11, 21:8"
2026-08-29,"540, 541",Not to harm the priests & Not to profane sacred vessels,Vayikra 21:1–9
2026-08-30,"542, 543",Not to enter the Temple in a state of impurity & Not to touch sacred objects,"Vayikra 15:31, 21:1"
2026-08-31,"544, 545",To observe the laws of ritual purity & To purify from impurity,"Vayikra 11:44–45, 15:13–15"
2026-09-01,"546, 547",Not to marry a close relative & To observe marriage laws,Vayikra 18:6–18
2026-09-02,"548, 549",Not to have forbidden relations & Not to commit incest,Vayikra 18:20–23
