Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2025-11-03,32,Positive 18,We are commanded that every man among us should write a Torah scroll for himself.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.18?lang=bi
2025-11-03,33,Positive 19,We are commanded to bless Him after eating.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.19?lang=bi
2025-11-03,34,Positive 20,"We are commanded to build a choice house for Divine service, in which there will be sacrifices and an eternal burning of fire; and to which there will be journeying and pilgrimage on the festivals, and gatherings every year.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.20?lang=bi
2025-11-03,35,Positive 21,"We are commanded to fear this Temple very much, to the extent that we place a burden of fear and awe upon ourselves and that this be from the fear of the Temple.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.21?lang=bi
2025-11-03,36,Positive 22,"We are commanded to guard the Temple and to constantly walk around it, to honor it, to exalt it and to aggrandize it.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi
2025-11-03,37,Positive 23,We are commanded to serve God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi
2025-11-03,38,Positive 24,We are commanded to serve God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.24?lang=bi
2025-11-03,39,Positive 25,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.25?lang=bi
2025-11-03,40,Positive 26,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.26?lang=bi
2025-11-03,41,Positive 27,We are commanded to place the bread of display always in front of Him.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.27?lang=bi
2025-11-03,42,Positive 28,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.28?lang=bi
2025-11-03,43,Positive 29,We are commanded to burn a fire on the altar every day continuously.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.29?lang=bi
2025-11-03,44,Positive 30,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.30?lang=bi
2025-11-03,45,Positive 31,We are commanded to send away the impure from the camp.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.31?lang=bi
2025-11-03,46,Positive 32,"We are commanded to honor the seed of Aharon, to adorn and glorify them, and that we should place them on a level of priority and precedence.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.32?lang=bi
2025-11-03,47,Positive 33,We are commanded to serve God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.33?lang=bi
2025-11-03,48,Positive 34,We are commanded to serve God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.34?lang=bi
2025-11-03,49,Positive 35,"We are commanded that we have oil made according to the special recipe, ready to anoint the high priest when he is appointed as He said, ""The priest who is exalted above his fellows, on whose head the anointing oil has been poured"" (Leviticus 21:10).",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.35?lang=bi
2025-11-03,50,Positive 36,"We are commanded that the priests serve in watches, each watch serving one week.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.36?lang=bi
2025-11-03,51,Positive 37,We are commanded to serve God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.37?lang=bi
2025-11-03,52,Positive 38,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.38?lang=bi
2025-11-03,53,Positive 39,"We are commanded to sacrifice two one-year old lambs in the Temple everyday, and these are called the daily offerings (<i>temidin</i>).",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.39?lang=bi
2025-11-03,54,Positive 40,We are commanded that the high priest offer a regular grain offering every day in the morning and in the afternoon.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.40?lang=bi
2025-11-03,55,Positive 41,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.41?lang=bi
2025-11-03,56,Positive 42,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.42?lang=bi
2025-11-03,57,Positive 43,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.43?lang=bi
2025-11-03,58,Positive 44,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.44?lang=bi
2025-11-03,59,Positive 45,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.45?lang=bi
2025-11-03,60,Positive 46,"We are commanded to bring two breads of chametz to the Temple with the sacrifices that come with the bread on Shavuot which is fixed for the bringing of the sacrifice, as it appears in Leviticus and that the priests eat the two breads, after their waving, with the lambs of the peace offering.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.46?lang=bi
2025-11-03,61,Positive 47,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.47?lang=bi
2025-11-03,62,Positive 48,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.48?lang=bi
2025-11-03,63,Positive 49,"We are commanded to do the service of the day meaning, the sum of all of the sacrifices and the confessions arranged for the fast of Yom Kippur, in order for them to atone for all of our transgressions, as it appears in Scripture.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.49?lang=bi
2025-11-03,64,Positive 50,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.50?lang=bi
2025-11-03,65,Positive 51,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.51?lang=bi
2025-11-03,66,Positive 52,We are commanded to ascend to the Temple three times a year.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.52?lang=bi
2025-11-03,67,Positive 53,We are commanded to appear [at the Temple] on festivals.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.53?lang=bi
2025-11-03,68,Positive 54,We are commanded to rejoice in the the festivals.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.54?lang=bi
2025-11-03,69,Positive 55,We are commanded to slaughter the Pesach-offering on the fourteenth of Nissan in the afternoon.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.55?lang=bi
2025-11-03,70,Positive 56,"We are commanded to eat the lamb of the Pesach-offering on the night of the fifteenth of Nissan according to the stipulations mentioned and that is that it is roasted, that it is eaten in one house and that is eaten with matzah and bitter herbs (<i>maror</i>).",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.56?lang=bi
2025-11-03,71,Positive 57,"We are commanded that whoever was prevented from slaughtering the first Pesach-offering, slaughter the second Pesach-offering.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.57?lang=bi
2025-11-03,72,Positive 58,We are commanded to eat from the meat of the second-Pesach offering on the night of the fifteenth of Iyar over matzah and bitter herbs.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.58?lang=bi
2025-11-03,73,Positive 59,We are commanded to blow with trumpets in the Temple during the bringing of the holiday offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.59?lang=bi
2025-11-03,74,Positive 60,We are commanded that any animal sacrifice that we offer be eight days old or more and not less.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.60?lang=bi
2025-11-03,75,Positive 61,We are commanded that all of that which we offer Him be consummate for its type flawless from blemishes that appear in Scripture and those that they pronounced as such from tradition.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.61?lang=bi
2025-11-03,76,Positive 62,We are commanded to offer salt on every sacrifice.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.62?lang=bi
2025-11-03,77,Positive 63,We are commanded with the process of the burnt-offering sacrifice.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.63?lang=bi
2025-11-03,78,Positive 64,"We are commanded with the process of the sin-offering sacrifice, according to the description that is mentioned whatever sin-offering it may be.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.64?lang=bi
2025-11-03,79,Positive 65,"We are commanded with the process of the guilt-offering sacrifice according to the description that is mentioned with His saying, ""And this is the law of the guilt-offering"" (Leviticus 7:1).",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.65?lang=bi
2025-11-03,80,Positive 66,"We are commanded with the process of the peace-offering sacrifices according to the description that is mentioned with His saying, ""And if his sacrifice is a sacrifice of peace-offerings"" (Leviticus 3:1).",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.66?lang=bi
2025-11-03,81,Positive 67,"We are commanded with the process of the meal-offering sacrifices, according to the description that is mentioned for each and every type.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.67?lang=bi
2025-11-03,82,Positive 68,We are commanded that the court should offer a sacrifice if they erred in a directive.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.68?lang=bi
2025-11-03,83,Positive 69,We are commanded that anyone who erred in a sin and is an individual offer a sin-offering sacrifice.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.69?lang=bi
2025-11-03,84,Positive 70,"We are commanded to offer a sacrifice when a doubt arises about one of the big sins for which we are liable excision when volitional, and a fixed sin-offering when inadvertent.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.70?lang=bi
2025-11-03,85,Positive 71,We are commanded that one who does certain sins must offer a guilt-offering sacrifice.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.71?lang=bi
2025-11-03,86,Positive 72,We are commanded regarding the Temple.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.72?lang=bi
2025-11-03,87,Positive 73,We are commanded to confess the transgressions and sins that we have done before God and to say them together with [our] repentance.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.73?lang=bi
2025-11-03,88,Positive 74,We are commanded that any man who is healed from a discharge offer a sacrifice.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.74?lang=bi
2025-11-03,89,Positive 75,We are commanded that any woman who is healed from a discharge offer a sacrifice and that is two turtledoves or two young pigeons.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.75?lang=bi
2025-11-03,90,Positive 76,"We are commanded that any woman after childbirth offer a sacrifice and that is a one-year old lamb as a burnt-offering, and a young pigeon or a turtledove as a sin-offering.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.76?lang=bi
2025-11-03,91,Positive 77,We are commanded that someone with <i>tsaraat</i> offer a sacrifice when he is healed from it.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.77?lang=bi
2025-11-03,92,Positive 78,"We are commanded to extract a tenth of the animals that are born to us each year, to offer their fat and blood and to eat the rest in Jerusalem.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.78?lang=bi
2025-11-03,93,Positive 79,"We are commanded to consecrate firstborn animals meaning, to separate and designate them for what is appropriate for one to do with them.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.79?lang=bi
2025-11-03,94,Positive 80,"We are commanded to redeem the firstborn man, that we should give the money to the priest.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.80?lang=bi
2025-11-03,95,Positive 81,"We are commanded that we should redeem the [firstborn] donkey specifically with a sheep, and it should not be redeemed with anything else.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.81?lang=bi
2025-11-03,96,Positive 82,We are commanded to behead the [firstborn] donkey if we do not redeem it.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.82?lang=bi
2025-11-03,97,Positive 83,"We are commanded to bring all of the sacrifices that are incumbent upon one during the first holiday of the three pilgrim holidays that we encounter, such that none of the three pilgrim holidays pass without each one of us sacrificing any sacrifice that he is obligated.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.83?lang=bi
2025-11-03,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.84?lang=bi
2025-11-03,99,Positive 85,"We are commanded to bring any sin-offering, burnt-offering, guilt-offering and peace-offerings, which we are obligated, to the [Temple].",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.85?lang=bi
2025-11-03,100,Positive 86,"We are commanded to redeem consecrated animals which have developed blemishes, such that it becomes mundane and permissible to slaughter and eat it.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.86?lang=bi
2025-11-03,101,Positive 87,We are commanded that the substitute [of a consecrated item] be consecrated.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.87?lang=bi
2025-11-03,102,Positive 88,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.88?lang=bi
2025-11-03,103,Positive 89,We are commanded regarding the Temple.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.89?lang=bi
2025-11-03,104,Positive 90,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.90?lang=bi
2025-11-03,105,Positive 91,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.91?lang=bi
2025-11-03,106,Positive 92,We are commanded that a nazarite should grow his hair.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.92?lang=bi
2025-11-03,107,Positive 93,We are commanded to shave the nazarite's head and to bring his sacrifices at the culmination of his nazariteship.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.93?lang=bi
2025-11-03,108,Positive 94,"We are commanded to fulfill everything that we we take upon ourselves in speech, whether in an oath, a vow, charity, a sacrifice or anything else besides them.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.94?lang=bi
2025-11-03,109,Positive 95,We are commanded to administer the nullification of vows meaning the precept that He instructed us about these laws.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.95?lang=bi
2025-11-03,110,Positive 96,"We are commanded that when any person touches a carcass, he becomes impure.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.96?lang=bi
2025-11-03,111,Positive 97,We are commanded to [administer the laws of impurity] of eight creeping creatures.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.97?lang=bi
2025-11-03,112,Positive 98,We are commanded to administer [the laws of] impurity of foods and drinks.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.98?lang=bi
2025-11-03,113,Positive 99,We are commanded that a menstruant woman be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.99?lang=bi
2025-11-03,114,Positive 100,We are commanded that a woman after childbirth be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.100?lang=bi
2025-11-03,115,Positive 101,We are commanded that a <i>metsora</i> be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.101?lang=bi
2025-11-03,116,Positive 102,"We are commanded to administer the laws of the impurity of a garment that has <i>tsaraat</i>, such that it be impure.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.102?lang=bi
2025-11-03,117,Positive 103,We are commanded that a house that has <i>tsaraat</i> be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.103?lang=bi
2025-11-03,118,Positive 104,We are commanded that a <i>zav</i> be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.104?lang=bi
2025-11-03,119,Positive 105,We are commanded that semen be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.105?lang=bi
2025-11-03,120,Positive 106,We are commanded that a <i>zavah</i> be impure.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.106?lang=bi
2025-11-03,121,Positive 107,We are commanded to administer [the laws of] the impurity of a corpse.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.107?lang=bi
2025-11-03,122,Positive 108,"We are commanded and instructed us [to administer] the laws of purification water, about which they said that it renders impure in one way and purifies in another way as is explained in the analysis of this commandment.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.108?lang=bi
2025-11-03,123,Positive 109,"We are commanded that we immerse in the mikveh waters, and that we then become pure from one of the various types of impurities with which we have become impure.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.109?lang=bi
2025-11-03,124,Positive 110,We are commanded that the purification from <i>tsaraat</i> be according to the process written in Scripture (Leviticus 14).,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.110?lang=bi
2025-11-03,125,Positive 111,We are commanded regarding sacrificial offerings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.111?lang=bi
2025-11-03,126,Positive 112,"We are commanded that a <i>metsora</i> (a person with <i>tsaarat</i>) be known to all, such that people will separate from him.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.112?lang=bi
2025-11-03,127,Positive 113,"We are commanded to process the red heifer, so that its ashes be ready for one who needs it for purification from the impurity of a corpse as He said, ""and it shall be for the congregation of the Children of Israel"" (Numbers 19:9).",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.113?lang=bi
2025-11-03,128,Positive 114,We are commanded to administer the law of human appraisals.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.114?lang=bi
2025-11-03,129,Positive 115,We are commanded with the law of animal appraisals.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.115?lang=bi
2025-11-03,130,Positive 116,We are commanded about house appraisals.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.116?lang=bi
2025-11-03,131,Positive 117,We are commanded about field appraisals.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.117?lang=bi
2025-11-03,132,Positive 118,"We are commanded that anyone who benefits from consecrated property add a fifth; likewise if he eats consecrated food meaning if [a non-priest] ate from the priestly tithe inadvertently, he pays for what he ate or the measure of what he benefitted, with the addition of a fifth.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.118?lang=bi
2025-11-03,133,Positive 119,We are commanded that the sapling of the fourth year be completely holy.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.119?lang=bi
2025-11-03,134,Positive 120,"We are commanded to leave over the corner of the produce, the trees and that which is similar to them.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.120?lang=bi
2025-11-03,135,Positive 121,We are commanded to leave over the gleanings.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.121?lang=bi
2025-11-03,136,Positive 122,We are commanded to leave over the forgotten [produce].,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.122?lang=bi
2025-11-03,137,Positive 123,We are commanded to leave over that which is called <i>ollalot</i> (incomplete clusters) for the poor when we harvest the vineyard.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.123?lang=bi
2025-11-03,138,Positive 124,"We are commanded to leave over for the poor, that which falls and breaks off from the grapes when we harvest them.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.124?lang=bi
2025-11-03,139,Positive 125,We are commanded to extract the first-fruits and bring them to the Temple.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.125?lang=bi
2025-11-03,140,Positive 126,We are commanded to extract the great (priestly) tithe (<i>terumah gedolah</i>).,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.126?lang=bi
2025-11-03,141,Positive 127,We are commanded to extract the tithe from agricultural produce.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.127?lang=bi
2025-11-03,142,Positive 128,We are commanded to extract the second tithe.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.128?lang=bi
2025-11-03,143,Positive 129,We are commanded regarding priestly service.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.129?lang=bi
2025-11-03,144,Positive 130,"We are commanded to extract the poor tithe every third year of the sabbatical [cycle], as well as the third year from every third year meaning the sixth year of the sabbatical [cycle].",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.130?lang=bi
2025-11-03,145,Positive 131,"We are commanded to declare in front of Him the fulfillment of the regulations of the tithes and the priestly tithes; and to be clear from them also in speech, the same way we are clear from holding them back in deed.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.131?lang=bi
2025-11-03,146,Positive 132,"We are commanded to tell over His kindnesses that He benefited us and saved us and one begins with the topic of our father, Yaakov, and finishes with the toil of the Egyptians and their afflicting us to praise Him about all of this; and to request from Him to continue the blessing, at the time that one brings the first-fruits.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.132?lang=bi
2025-11-03,147,Positive 133,We are commanded to separate the loaf (<i>challah</i>)-tithe from our dough and to give it to the priest.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.133?lang=bi
2025-11-03,148,Positive 134,We are commanded to render ownerless all that grows from the ground during the sabbatical year and permit the growth of all of our lands to any person.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.134?lang=bi
2025-11-03,149,Positive 135,We are commanded to rest from any agricultural work on the seventh year.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.135?lang=bi
2025-11-03,150,Positive 136,"We are commanded to sanctify the fiftieth year that is to say, to cease working during it.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.136?lang=bi
2025-11-03,151,Positive 137,"We are commanded to blow the shofar on the tenth day of Tishrei of this year to announce the freedom of the slaves, and that every Jewish slave go out to freedom on the tenth day of Tishrei.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.137?lang=bi
2025-11-03,152,Positive 138,"We are commanded to return all the lands to their owners in this year, and that they go out from their buyers without [payment].",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.138?lang=bi
2025-11-03,153,Positive 139,We are commanded that there be [the possibility of] redeeming lands sold within the city wall only until the end of a year.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.139?lang=bi
