Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2025-11-22,34,Positive 20,That is that we were commanded to build a choice house for D...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.20?lang=bi
2025-11-23,35,Positive 21,"That is that He commanded us to fear this Temple very much, ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.21?lang=bi
2025-11-24,36,Positive 22,That is that He commanded us to guard the Temple and to cons...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi
2025-11-25,37,Positive 23,And that is that only the Levites were commanded to serve in...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi
2025-11-26,38,Positive 24,That is that He commanded the priests to wash their hands an...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.24?lang=bi
2025-11-27,39,Positive 25,That is that He commanded the priests to kindle the lamps re...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.25?lang=bi
2025-11-28,40,Positive 26,That is that He commanded the priests to bless Israel,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.26?lang=bi
2025-11-29,41,Positive 27,That is that he commanded us to place the bread of display a...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.27?lang=bi
2025-11-30,42,Positive 28,That is that He commanded the priests to burn incense every ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.28?lang=bi
2025-12-01,43,Positive 29,That is that He commanded us to burn a fire on the altar eve...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.29?lang=bi
2025-12-02,44,Positive 30,That is that He commanded the priests to remove the ashes fr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.30?lang=bi
2025-12-03,45,Positive 31,And that is that He commanded us to send away the impure fro...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.31?lang=bi
2025-12-04,46,Positive 32,"That is that He commanded us to honor the seed of Aharon, to...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.32?lang=bi
2025-12-05,47,Positive 33,That is that He commanded the priests to wear special garmen...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.33?lang=bi
2025-12-06,48,Positive 34,That is that He commanded the priests to carry the ark on th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.34?lang=bi
2025-12-07,49,Positive 35,That is that He commanded us that we have oil made according...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.35?lang=bi
2025-12-08,50,Positive 36,And that is that He commanded us that the priests serve in w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.36?lang=bi
2025-12-09,51,Positive 37,That is that the priests were commanded to become impure for...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.37?lang=bi
2025-12-10,52,Positive 38,That is that He commanded a high priest to marry a virgin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.38?lang=bi
2025-12-11,53,Positive 39,That is that He commanded us to sacrifice two one-year old l...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.39?lang=bi
2025-12-12,54,Positive 40,That is that He commanded us that the high priest offer a re...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.40?lang=bi
2025-12-13,55,Positive 41,That is that He commanded to offer a sacrifice on every Shab...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.41?lang=bi
2025-12-14,56,Positive 42,That is that He commanded to offer a sacrifice on every Rosh...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.42?lang=bi
2025-12-15,57,Positive 43,That is that He commanded to offer a sacrifice on all seven ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.43?lang=bi
2025-12-16,58,Positive 44,That is that He commanded to offer the grain offering of the...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.44?lang=bi
2025-12-17,59,Positive 45,That is that He commanded to also offer an additional sacrif...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.45?lang=bi
2025-12-18,60,Positive 46,That is that He commanded us to bring two breads of chametz ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.46?lang=bi
2025-12-19,61,Positive 47,That is that He commanded to offer an additional sacrifice o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.47?lang=bi
2025-12-20,62,Positive 48,That is that He commanded to offer an additional sacrifice o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.48?lang=bi
2025-12-21,63,Positive 49,That is that He commanded us to do the service of the day - ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.49?lang=bi
2025-12-22,64,Positive 50,That is that He commanded to offer an additional sacrifice o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.50?lang=bi
2025-12-23,65,Positive 51,That is that He commanded to offer an additional sacrifice o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.51?lang=bi
2025-12-24,66,Positive 52,That is that He commanded us to ascend to the Temple three t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.52?lang=bi
2025-12-25,67,Positive 53,And that is that He commanded us to appear [at the Temple] o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.53?lang=bi
2025-12-26,68,Positive 54,That is that He commanded us to rejoice in the the festivals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.54?lang=bi
2025-12-27,69,Positive 55,That is that He commanded us to slaughter the Pesach-offerin...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.55?lang=bi
2025-12-28,70,Positive 56,That is that He commanded us to eat the lamb of the Pesach-o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.56?lang=bi
2025-12-29,71,Positive 57,That is that He commanded us that whoever was prevented from...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.57?lang=bi
2025-12-30,72,Positive 58,That is that He commanded us to eat from the meat of the sec...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.58?lang=bi
2025-12-31,73,Positive 59,And that is that He commanded us to blow with trumpets in th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.59?lang=bi
2026-01-01,74,Positive 60,That is that we were commanded that any animal sacrifice tha...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.60?lang=bi
2026-01-02,75,Positive 61,That is that He commanded us that all of that which we offer...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.61?lang=bi
2026-01-03,76,Positive 62,That is that He commanded us to offer salt on every sacrific...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.62?lang=bi
2026-01-04,77,Positive 63,That is that He commanded us with the process of the burnt-o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.63?lang=bi
2026-01-05,78,Positive 64,That is that He commanded us with the process of the sin-off...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.64?lang=bi
2026-01-06,79,Positive 65,That is that He commanded us with the process of the guilt-o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.65?lang=bi
2026-01-07,80,Positive 66,That is that He commanded us with the process of the peace-o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.66?lang=bi
2026-01-08,81,Positive 67,That is that He commanded us with the process of the meal-of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.67?lang=bi
2026-01-09,82,Positive 68,That is that He commanded us that the court should offer a s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.68?lang=bi
2026-01-10,83,Positive 69,That is that He commanded us that anyone who erred in a sin ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.69?lang=bi
2026-01-11,84,Positive 70,That is that He commanded us to offer a sacrifice when a dou...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.70?lang=bi
2026-01-12,85,Positive 71,And that is that He commanded us that one who does certain s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.71?lang=bi
2026-01-13,86,Positive 72,That is that He also commanded us to bring a variable burnt-...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.72?lang=bi
2026-01-14,87,Positive 73,And that is that He commanded us to confess the transgressio...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.73?lang=bi
2026-01-15,88,Positive 74,That is that He commanded us that any man who is healed from...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.74?lang=bi
2026-01-16,89,Positive 75,That is that He commanded us that any woman who is healed fr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.75?lang=bi
2026-01-17,90,Positive 76,That is that He commanded us that any woman after childbirth...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.76?lang=bi
2026-01-18,91,Positive 77,That is that He commanded us that someone with tsaraat offer...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.77?lang=bi
2026-01-19,92,Positive 78,That is that He commanded us to extract a tenth of the anima...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.78?lang=bi
2026-01-20,93,Positive 79,That is that He commanded us to consecrate firstborn animals...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.79?lang=bi
2026-01-21,94,Positive 80,And that is that He commanded us to redeem the firstborn man...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.80?lang=bi
2026-01-22,95,Positive 81,That is that He commanded us that we should redeem the [firs...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.81?lang=bi
2026-01-23,96,Positive 82,That is that He commanded us to behead the [firstborn] donke...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.82?lang=bi
2026-01-24,97,Positive 83,That is that He commanded us to bring all of the sacrifices ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.83?lang=bi
2026-01-25,98,Positive 84,That is that He commanded us to offer all of the sacrifices ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.84?lang=bi
2026-01-26,99,Positive 85,"That is that He commanded us to bring any sin-offering, burn...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.85?lang=bi
2026-01-27,100,Positive 86,That is that He commanded us to redeem consecrated animals w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.86?lang=bi
2026-01-28,101,Positive 87,That is that He commanded us that the substitute [of a conse...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.87?lang=bi
2026-01-29,102,Positive 88,That is that He commanded the priests to eat the remainders ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.88?lang=bi
2026-01-30,103,Positive 89,That is that He commanded the priests to eat the meat of con...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.89?lang=bi
2026-01-31,104,Positive 90,That is that He commanded to burn consecrated items that hav...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.90?lang=bi
2026-02-01,105,Positive 91,That is that He commanded to burn leftovers (notar),https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.91?lang=bi
2026-02-02,106,Positive 92,That is that He commanded us that a nazarite should grow his...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.92?lang=bi
2026-02-03,107,Positive 93,That is that He commanded us to shave the nazarite's head an...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.93?lang=bi
2026-02-04,108,Positive 94,That is that we were commanded to fulfill everything that we...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.94?lang=bi
2026-02-05,109,Positive 95,That is that He commanded us to administer the nullification...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.95?lang=bi
2026-02-06,110,Positive 96,That is that He commanded us that when any person touches a ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.96?lang=bi
2026-02-07,111,Positive 97,That is that He commanded us to [administer the laws of impu...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.97?lang=bi
2026-02-08,112,Positive 98,That is that He commanded us to administer [the laws of] imp...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.98?lang=bi
2026-02-09,113,Positive 99,That is that He commanded us that a menstruant woman be impu...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.99?lang=bi
2026-02-10,114,Positive 100,That is that He commanded us that a woman after childbirth b...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.100?lang=bi
2026-02-11,115,Positive 101,That is that He commanded us that a metsora be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.101?lang=bi
2026-02-12,116,Positive 102,That is that He commanded us to administer the laws of the i...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.102?lang=bi
2026-02-13,117,Positive 103,That is that He commanded us that a house that has tsaraat b...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.103?lang=bi
2026-02-14,118,Positive 104,That is that He commanded us that a zav be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.104?lang=bi
2026-02-15,119,Positive 105,That is that He commanded us that semen be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.105?lang=bi
2026-02-16,120,Positive 106,That is that He commanded us that a zavah be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.106?lang=bi
2026-02-17,121,Positive 107,That is that He commanded us to administer [the laws of] the...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.107?lang=bi
2026-02-18,122,Positive 108,That is that He commanded us and instructed us [to administe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.108?lang=bi
2026-02-19,123,Positive 109,That is that He commanded us that we immerse in the mikveh w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.109?lang=bi
2026-02-20,124,Positive 110,That is that He commanded us that the purification from tsar...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.110?lang=bi
2026-02-21,125,Positive 111,That is that He commanded the metsora (a person with tsaarat...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.111?lang=bi
2026-02-22,126,Positive 112,That is that He commanded us that a metsora (a person with t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.112?lang=bi
2026-02-23,127,Positive 113,"And that is that He commanded us to process the red heifer, ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.113?lang=bi
2026-02-24,128,Positive 114,That is that He commanded us to administer the law of human ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.114?lang=bi
2026-02-25,129,Positive 115,That is that He commanded us with the law of animal appraisa...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.115?lang=bi
2026-02-26,130,Positive 116,That is that He commanded us about house appraisals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.116?lang=bi
2026-02-27,131,Positive 117,That is that He commanded us about field appraisals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.117?lang=bi
2026-02-28,132,Positive 118,That is that we were commanded that anyone who benefits from...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.118?lang=bi
2026-03-01,133,Positive 119,That is that He commanded us that the sapling of the fourth ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.119?lang=bi
2026-03-02,134,Positive 120,That is that He commanded us to leave over the corner of the...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.120?lang=bi
2026-03-03,135,Positive 121,That is that He commanded us to leave over the gleanings,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.121?lang=bi
2026-03-04,136,Positive 122,That is that He commanded us to leave over the forgotten [pr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.122?lang=bi
2026-03-05,137,Positive 123,That is that He commanded us to leave over that which is cal...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.123?lang=bi
2026-03-06,138,Positive 124,"That is that He commanded us to leave over for the poor, tha...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.124?lang=bi
2026-03-07,139,Positive 125,That is that He commanded us to extract the first-fruits and...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.125?lang=bi
2026-03-08,140,Positive 126,And that is that He commanded us to extract the great (pries...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.126?lang=bi
2026-03-09,141,Positive 127,That is that He commanded us to extract the tithe from agric...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.127?lang=bi
2026-03-10,142,Positive 128,That is that He commanded us to extract the second tithe,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.128?lang=bi
2026-03-11,143,Positive 129,That is that He commanded the Levites to extract a tithe fro...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.129?lang=bi
2026-03-12,144,Positive 130,That is that He commanded us to extract the poor tithe every...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.130?lang=bi
2026-03-13,145,Positive 131,That is that He commanded us to declare in front of Him the ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.131?lang=bi
2026-03-14,146,Positive 132,That is that He commanded us to tell over His kindnesses tha...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.132?lang=bi
2026-03-15,147,Positive 133,That is that He commanded us to separate the loaf (challah)-...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.133?lang=bi
2026-03-16,148,Positive 134,That is that He commanded us to render ownerless all that gr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.134?lang=bi
2026-03-17,149,Positive 135,That is that He commanded us to rest from any agricultural w...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.135?lang=bi
2026-03-18,150,Positive 136,That is that He commanded us to sanctify the fiftieth year -...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.136?lang=bi
2026-03-19,151,Positive 137,That is that He commanded us to blow the shofar on the tenth...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.137?lang=bi
2026-03-20,152,Positive 138,That is that He commanded us to return all the lands to thei...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.138?lang=bi
2026-03-21,153,Positive 139,That is that He commanded us that there be [the possibility ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.139?lang=bi
2026-03-22,154,Positive 140,That is that He commanded us to count the years and the sabb...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.140?lang=bi
2026-03-23,155,Negative 1,Not to believe in other gods,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.1?lang=bi
2026-03-23,156,Negative 2,Not to make idols for yourself,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.2?lang=bi
2026-03-24,157,Negative 3,Not to make idols for others,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.3?lang=bi
2026-03-24,158,Negative 4,Not to make decorative images,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.4?lang=bi
2026-03-25,159,Negative 5,Not to bow down to idols,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.5?lang=bi
2026-03-25,160,Negative 6,Not to worship idols in their manner,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.6?lang=bi
2026-03-26,161,Negative 7,That He prohibited us from giving over some of our children ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.7?lang=bi
2026-03-26,162,Negative 8,That He prohibited us from making an ov - and that is that o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.8?lang=bi
2026-03-27,163,Negative 9,That He prohibited us from doing the procedure of the yidaon...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.9?lang=bi
2026-03-27,164,Negative 10,That He prohibited us from inclining towards idolatry and oc...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.10?lang=bi
2026-03-28,165,Negative 11,That He prohibited us from making a pillar to which we attac...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.11?lang=bi
2026-03-28,166,Negative 12,That He prohibited us from making a stone that is designed t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.12?lang=bi
2026-03-29,167,Negative 13,That is that we have been prevented from planting trees in t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.13?lang=bi
2026-03-29,168,Negative 14,That He prohibited us from swearing by an idol,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.14?lang=bi
2026-03-30,169,Negative 15,"That He prohibited us from preaching for an idol, and [for o...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.15?lang=bi
2026-03-30,170,Negative 16,That He prohibited us from inciting,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.16?lang=bi
2026-03-31,171,Negative 17,That He prohibited an incited one from loving the inciter an...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.17?lang=bi
2026-03-31,172,Negative 18,That an incited one refrain from lightening the grudge again...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.18?lang=bi
2026-04-01,173,Negative 19,That He prohibited an incited one from saving the inciter wh...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.19?lang=bi
2026-04-01,174,Negative 20,That He prohibited an incited one from arguing the merit of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.20?lang=bi
2026-04-02,175,Negative 21,That He prohibited an incited one from being silent about so...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.21?lang=bi
2026-04-02,176,Negative 22,That He prohibited us from benefiting from the ornaments wit...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.22?lang=bi
2026-04-03,177,Negative 23,That He prohibited us from rebuilding a condemned city,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.23?lang=bi
2026-04-03,178,Negative 24,"That He prohibited us - that we not benefit from, or at all ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.24?lang=bi
