Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2025-11-30,69,Positive 55,That is that He commanded the priests to burn incense every day twice on the ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.55?lang=bi
2025-11-30,70,Positive 56,To to eat the lamb of the Pesach-offering on the night of the fifteenth of Ni...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.56?lang=bi
2025-12-01,71,Positive 57,To to burn a fire on the altar every day continuously,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.57?lang=bi
2025-12-01,72,Positive 58,To to eat from the meat of the second-Pesach offering on the night of the fif...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.58?lang=bi
2025-12-02,73,Positive 59,That is that He commanded the priests to remove the ashes from off the altar ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.59?lang=bi
2025-12-02,74,Positive 60,That is that we were commanded that any animal sacrifice that we offer be eig...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.60?lang=bi
2025-12-03,75,Positive 61,And that is that He commanded us to send away the impure from the camp,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.61?lang=bi
2025-12-03,76,Positive 62,To to offer salt on every sacrifice,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.62?lang=bi
2025-12-04,77,Positive 63,"To to honor the seed of Aharon, to adorn and glorify them, and that we should...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.63?lang=bi
2025-12-04,78,Positive 64,"To with the process of the sin-offering sacrifice, according to the descripti...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.64?lang=bi
2025-12-05,79,Positive 65,That is that He commanded the priests to wear special garments for glory and ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.65?lang=bi
2025-12-05,80,Positive 66,To with the process of the peace-offering sacrifices - according to the descr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.66?lang=bi
2025-12-06,81,Positive 67,"That is that He commanded the priests to carry the ark on their shoulders, wh...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.67?lang=bi
2025-12-06,82,Positive 68,To that the court should offer a sacrifice if they erred in a directive,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.68?lang=bi
2025-12-07,83,Positive 69,"To that we have oil made according to the special recipe, ready to anoint the...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.69?lang=bi
2025-12-07,84,Positive 70,To to offer a sacrifice when a doubt arises about one of the big sins for whi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.70?lang=bi
2025-12-08,85,Positive 71,"And that is that He commanded us that the priests serve in watches, each watc...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.71?lang=bi
2025-12-08,86,Positive 72,That is that He also commanded us to bring a variable burnt-sacrifice for cer...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.72?lang=bi
2025-12-09,87,Positive 73,That is that the priests were commanded to become impure for the relatives th...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.73?lang=bi
2025-12-09,88,Positive 74,To that any man who is healed from a discharge offer a sacrifice,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.74?lang=bi
2025-12-10,89,Positive 75,That is that He commanded a high priest to marry a virgin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.75?lang=bi
2025-12-10,90,Positive 76,To that any woman after childbirth offer a sacrifice - and that is a one-year...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.76?lang=bi
2025-12-11,91,Positive 77,"To to sacrifice two one-year old lambs in the Temple everyday, and these are ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.77?lang=bi
2025-12-11,92,Positive 78,"To to extract a tenth of the animals that are born to us each year, to offer ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.78?lang=bi
2025-12-12,93,Positive 79,To that the high priest offer a regular grain offering every day in the morni...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.79?lang=bi
2025-12-12,94,Positive 80,"And that is that He commanded us to redeem the firstborn man, that we should ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.80?lang=bi
2025-12-13,95,Positive 81,That is that He commanded to offer a sacrifice on every Shabbat in addition t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.81?lang=bi
2025-12-13,96,Positive 82,To to behead the [firstborn] donkey if we do not redeem it,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.82?lang=bi
2025-12-14,97,Positive 83,That is that He commanded to offer a sacrifice on every Rosh Chodesh (first d...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.83?lang=bi
2025-12-14,98,Positive 84,To to offer all of the sacrifices in the [Temple],https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.84?lang=bi
2025-12-15,99,Positive 85,That is that He commanded to offer a sacrifice on all seven days of Pesach in...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.85?lang=bi
2025-12-15,100,Positive 86,"To to redeem consecrated animals which have developed blemishes, such that it...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.86?lang=bi
2025-12-16,101,Positive 87,That is that He commanded to offer the grain offering of the omer,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.87?lang=bi
2025-12-16,102,Positive 88,That is that He commanded the priests to eat the remainders of the grain offe...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.88?lang=bi
2025-12-17,103,Positive 89,That is that He commanded to also offer an additional sacrifice on the fiftie...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.89?lang=bi
2025-12-17,104,Positive 90,That is that He commanded to burn consecrated items that have become impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.90?lang=bi
2025-12-18,105,Positive 91,To to bring two breads of chametz to the Temple with the sacrifices that come...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.91?lang=bi
2025-12-18,106,Positive 92,To that a nazarite should grow his hair,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.92?lang=bi
2025-12-19,107,Positive 93,That is that He commanded to offer an additional sacrifice on the first day o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.93?lang=bi
2025-12-19,108,Positive 94,That is that we were commanded to fulfill everything that we we take upon our...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.94?lang=bi
2025-12-20,109,Positive 95,That is that He commanded to offer an additional sacrifice on the tenth day o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.95?lang=bi
2025-12-20,110,Positive 96,"To that when any person touches a carcass, he becomes impure",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.96?lang=bi
2025-12-21,111,Positive 97,"To to do the service of the day - meaning, the sum of all of the sacrifices a...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.97?lang=bi
2025-12-21,112,Positive 98,To to administer [the laws of] impurity of foods and drinks,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.98?lang=bi
2025-12-22,113,Positive 99,That is that He commanded to offer an additional sacrifice on the holiday of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.99?lang=bi
2025-12-22,114,Positive 100,To that a woman after childbirth be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.100?lang=bi
2025-12-23,115,Positive 101,That is that He commanded to offer an additional sacrifice on the eighth day ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.101?lang=bi
2025-12-23,116,Positive 102,"To to administer the laws of the impurity of a garment that has tsaraat, such...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.102?lang=bi
2025-12-24,117,Positive 103,To to ascend to the Temple three times a year,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.103?lang=bi
2025-12-24,118,Positive 104,To that a zav be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.104?lang=bi
2025-12-25,119,Positive 105,And that is that He commanded us to appear [at the Temple] on festivals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.105?lang=bi
2025-12-25,120,Positive 106,To that a zavah be impure,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.106?lang=bi
2025-12-26,121,Positive 107,To to rejoice in the the festivals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.107?lang=bi
2025-12-26,122,Positive 108,"To and instructed us [to administer] the laws of purification water, about wh...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.108?lang=bi
2025-12-27,123,Positive 109,To to slaughter the Pesach-offering on the fourteenth of Nissan in the afternoon,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.109?lang=bi
2025-12-27,124,Positive 110,To that the purification from tsaraat be according to the process written in ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.110?lang=bi
2025-12-28,125,Positive 111,To to eat the lamb of the Pesach-offering on the night of the fifteenth of Ni...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.111?lang=bi
2025-12-28,126,Positive 112,"To that a metsora (a person with tsaarat) be known to all, such that people w...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.112?lang=bi
2025-12-29,127,Positive 113,"To that whoever was prevented from slaughtering the first Pesach-offering, sl...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.113?lang=bi
2025-12-29,128,Positive 114,To to administer the law of human appraisals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.114?lang=bi
2025-12-30,129,Positive 115,To to eat from the meat of the second-Pesach offering on the night of the fif...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.115?lang=bi
2025-12-30,130,Positive 116,To about house appraisals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.116?lang=bi
2025-12-31,131,Positive 117,And that is that He commanded us to blow with trumpets in the Temple during t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.117?lang=bi
2025-12-31,132,Positive 118,That is that we were commanded that anyone who benefits from consecrated prop...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.118?lang=bi
2026-01-01,133,Positive 119,That is that we were commanded that any animal sacrifice that we offer be eig...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.119?lang=bi
2026-01-01,134,Positive 120,"To to leave over the corner of the produce, the trees and that which is simil...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.120?lang=bi
2026-01-02,135,Positive 121,To that all of that which we offer Him be consummate for its type - flawless ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.121?lang=bi
2026-01-02,136,Positive 122,To to leave over the forgotten [produce],https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.122?lang=bi
2026-01-03,137,Positive 123,To to offer salt on every sacrifice,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.123?lang=bi
2026-01-03,138,Positive 124,"To to leave over for the poor, that which falls and breaks off from the grape...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.124?lang=bi
2026-01-04,139,Positive 125,To with the process of the burnt-offering sacrifice,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.125?lang=bi
2026-01-04,140,Positive 126,And that is that He commanded us to extract the great (priestly) tithe (terum...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.126?lang=bi
2026-01-05,141,Positive 127,"To with the process of the sin-offering sacrifice, according to the descripti...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.127?lang=bi
2026-01-05,142,Positive 128,To to extract the second tithe,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.128?lang=bi
2026-01-06,143,Positive 129,To with the process of the guilt-offering sacrifice - according to the descri...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.129?lang=bi
2026-01-06,144,Positive 130,"To to extract the poor tithe every third year of the sabbatical [cycle], as w...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.130?lang=bi
2026-01-07,145,Positive 131,To with the process of the peace-offering sacrifices - according to the descr...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.131?lang=bi
2026-01-07,146,Positive 132,To to tell over His kindnesses that He benefited us and saved us - and one be...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.132?lang=bi
2026-01-08,147,Positive 133,"To with the process of the meal-offering sacrifices, according to the descrip...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.133?lang=bi
2026-01-08,148,Positive 134,To to render ownerless all that grows from the ground during the sabbatical y...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.134?lang=bi
2026-01-09,149,Positive 135,To that the court should offer a sacrifice if they erred in a directive,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.135?lang=bi
2026-01-09,150,Positive 136,"To to sanctify the fiftieth year - that is to say, to cease working during it",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.136?lang=bi
2026-01-10,151,Positive 137,To that anyone who erred in a sin and is an individual offer a sin-offering s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.137?lang=bi
2026-01-10,152,Positive 138,"To to return all the lands to their owners in this year, and that they go out...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.138?lang=bi
2026-01-11,153,Positive 139,To to offer a sacrifice when a doubt arises about one of the big sins for whi...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.139?lang=bi
2026-01-11,154,Positive 140,"To to count the years and the sabbatical cycles until the Jubilee year, once ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.140?lang=bi
2026-01-12,155,Positive 141,And that is that He commanded us that one who does certain sins must offer a ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.141?lang=bi
2026-01-12,156,Positive 142,"To to press the gentile and to force him to pay his debt, just as we have bee...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.142?lang=bi
2026-01-13,157,Positive 143,That is that He also commanded us to bring a variable burnt-sacrifice for cer...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.143?lang=bi
2026-01-13,158,Positive 144,To to give the first shearing to the priest,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.144?lang=bi
2026-01-14,159,Positive 145,And that is that He commanded us to confess the transgressions and sins that ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.145?lang=bi
2026-01-14,160,Positive 146,"To to slaughter a beast, animal or bird and then to eat its meat; and that it...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.146?lang=bi
2026-01-15,161,Positive 147,To that any man who is healed from a discharge offer a sacrifice,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.147?lang=bi
2026-01-15,162,Positive 148,To to send away [the mother bird from] the nest,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.148?lang=bi
2026-01-16,163,Positive 149,To that any woman who is healed from a discharge offer a sacrifice - and that...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.149?lang=bi
2026-01-16,164,Positive 150,"To to check for the signs of birds, such that only some of them are permissible",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.150?lang=bi
2026-01-17,165,Positive 151,To that any woman after childbirth offer a sacrifice - and that is a one-year...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.151?lang=bi
2026-01-17,166,Positive 152,"To to check for the signs of [permissible] fish, which are written [in the To...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.152?lang=bi
2026-01-18,167,Positive 153,To that someone with tsaraat offer a sacrifice when he is healed from it,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.153?lang=bi
2026-01-18,168,Positive 154,To to rest on Shabbat,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.154?lang=bi
2026-01-19,169,Positive 155,"To to extract a tenth of the animals that are born to us each year, to offer ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.155?lang=bi
2026-01-19,170,Positive 156,To to destroy chametz from our homes on the fourteenth day of Nissan,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.156?lang=bi
2026-01-20,171,Positive 157,"To to consecrate firstborn animals - meaning, to separate and designate them ...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.157?lang=bi
