Date,Mitzvos,English Title(s),Source
2026-04-20,"278, 279",To break the neck of the donkey if the owner does not intend to redeem it & To rest the land during the seventh year by not doing any work which enhances growth,Shemos 13:13 & Shemos 34:21
2026-04-21,"280, 281",Not to work the land during the seventh year & Not to work with trees to produce fruit during that year,Vayikra 25:4 & Vayikra 25:4
2026-04-22,"282, 283",Not to reap crops that grow wild that year in the normal manner & Not to gather grapes which grow wild that year in the normal way,Vayikra 25:5 & Vayikra 25:5
2026-04-23,"284, 285",To leave free all produce which grew in that year & To release all loans during the seventh year,Shemos 23:11 & Devarim 15:3
2026-04-24,"286, 287",Not to pressure or claim from the borrower & Not to refrain from lending immediately before the release of the loans for fear of monetary loss,Devarim 15:2 & Devarim 15:9
2026-04-25,"288, 289",The Sanhedrin must count seven groups of seven years & The Sanhedrin must sanctify the fiftieth (Jubilee) year,Vayikra 25:8 & Vayikra 25:10
2026-04-26,"290, 291",To blow the Shofar on the tenth of Tishrei (Yom Kippur of the Jubilee year) to free the slaves & Not to work the soil during the fiftieth year,Vayikra 25:9 & Vayikra 25:11
2026-04-27,"292, 293",Not to reap in the normal manner that which grows wild in the fiftieth year & Not to pick grapes which grew wild in the normal manner in the fiftieth year,Vayikra 25:11 & Vayikra 25:11
2026-04-28,"294, 295",Carry out the laws of sold family properties & Not to sell the land in Israel indefinitely,Vayikra 25:24 & Vayikra 25:23
2026-04-29,"296, 297","Carry out the laws of houses in walled cities & The Tribe of Levi must not be given a portion of the land in Israel, rather they are given cities to dwell in",Vayikra 25:29 & Devarim 18:2
2026-04-30,"298, 299",The Levites must not take a share in the spoils of war & To give the Levites cities to inhabit and their surrounding fields,Devarim 18:1 & Bamidbar 35:2
2026-05-01,"300, 301",Not to sell the fields but they shall remain the Levites' before and after the Jubilee year & To build a Sanctuary (Holy Temple),Vayikra 25:34 & Shemos 25:8
2026-05-02,"302, 303",Not to build the altar with stones hewn by metal & Not to climb steps to the altar,Shemos 20:22 & Shemos 20:23
2026-05-03,"304, 305",To show reverence for the Temple & To guard the Temple area,Vayikra 19:30 & Bamidbar 18:3
2026-05-04,"306, 307",Not to leave the Temple unguarded & To prepare the anointing oil,Bamidbar 18:5 & Shemos 30:31
2026-05-05,"308, 309",Not to reproduce the anointing oil (for personal use) & Not to anoint with anointing oil (a non-Kohen or non-king),Shemos 30:32 & Shemos 30:32
2026-05-06,"310, 311",Not to reproduce the incense formula (for personal use) & Not to burn anything on the Golden Altar besides incense,Shemos 30:37 & Shemos 30:9
2026-05-07,"312, 313",The Levites must transport the ark on their shoulders & Not to remove the staves from the ark,Bamidbar 7:9 & Shemos 25:15
2026-05-08,"314, 315",The Levites must work in the Temple & No Levite must do another's work of either a Kohen or a Levite,Bamidbar 18:23 & Bamidbar 18:3
2026-05-09,"316, 317",To dedicate the Kohen for service & The Kohen work shifts must be equal during holidays,Vayikra 21:8 & Devarim 18:6-8
2026-05-10,"318, 319",The Kohanim must wear their priestly garments during service & Not to tear the priestly garments,Shemos 28:2 & Shemos 28:32
2026-05-11,"320, 321",The High Priest's breastplate must not be loosened from the Efod (priestly apron) & A Kohen must not enter the Temple intoxicated,Shemos 28:28 & Vayikra 10:9
2026-05-12,"322, 323",A Kohen must not enter the Temple with long hair & A Kohen must not enter the Temple with torn clothes,Vayikra 10:6 & Vayikra 10:6
2026-05-13,"324, 325",A Kohen must not enter the sanctuary of the Temple indiscriminately & A Kohen must not leave the Temple during service,Vayikra 16:2 & Vayikra 10:7
2026-05-14,"326, 327",To send the impure from the Temple & Impure people must not enter the Temple,Bamidbar 5:2 & Bamidbar 5:3
2026-05-15,"328, 329",[Certain] impure people must not enter [even] the Temple Mount area & Impure Kohanim must not do service in the temple,Devarim 23:11 & Vayikra 22:2
2026-05-16,"330, 331","An impure Kohen, following immersion, must wait until after sundown before returning to service & A Kohen must wash his hands and feet before service",Vayikra 21:6 & Shemos 30:19
2026-05-17,"332, 333",A Kohen with a physical blemish must not enter the sanctuary or approach the altar & A Kohen with a physical blemish must not serve,Vayikra 21:23 & Vayikra 21:17
2026-05-18,"334, 335",A Kohen with a temporary blemish must not serve & One who is not a Kohen must not serve,Vayikra 21:18 & Bamidbar 18:4
2026-05-19,"336, 337",To offer only unblemished animals & Not to dedicate a blemished animal for the altar,Vayikra 22:21 & Vayikra 22:20
2026-05-20,"338, 339",Not to slaughter it & Not to sprinkle its blood,Vayikra 22:22 & Vayikra 22:24
2026-05-21,"340, 341",Not to burn its fat & Not to offer a temporarily blemished animal,Vayikra 22:22 & Devarim 17:1
2026-05-22,"342, 343",Not to sacrifice blemished animals even if offered by non-Jews & Not to inflict wounds upon dedicated animals,Vayikra 22:25 & Vayikra 22:21
2026-05-23,"344, 345",To redeem dedicated animals which have become disqualified & To offer only animals which are at least eight days old,Devarim 12:15 & Vayikra 22:27
2026-05-24,"346, 347",Not to offer animals bought with the wages of a harlot or the animal exchanged for a dog & Not to burn honey or yeast on the altar,Devarim 23:19 & Vayikra 2:11
2026-05-25,"348, 349",To salt all sacrifices & Not to omit the salt from sacrifices,Vayikra 2:13 & Vayikra 2:13
2026-05-26,"350, 351",Carry out the procedure of the burnt offering as prescribed in the Torah & Not to eat its meat,Vayikra 1:3 & Devarim 12:17
2026-05-27,"352, 353",Carry out the procedure of the sin offering & Not to eat the meat of the inner sin offering,Vayikra 6:18 & Vayikra 6:23
2026-05-28,"354, 355",Not to decapitate a fowl brought as a sin offering & Carry out the procedure of the guilt offering,Vayikra 5:8 & Vayikra 7:1
2026-05-29,"356, 357",The Kohanim must eat the sacrificial meat in the Temple & The Kohanim must not eat the meat outside the Temple courtyard,Shemos 29:33 & Devarim 12:17
2026-05-30,"358, 359",A non-Kohen must not eat [certain] sacrificial meats & To follow the procedure of the peace offering,Shemos 29:33 & Vayikra 7:11
2026-05-31,"360, 361",Not to eat the meat of minor sacrifices before sprinkling the blood & To bring meal offerings as prescribed in the Torah,Devarim 12:17 & Vayikra 2:1
2026-06-01,"362, 363",Not to put oil on the meal offerings of wrongdoers & Not to put frankincense on the meal offerings of wrongdoers,Vayikra 5:11 & Vayikra 5:11
2026-06-02,"364, 365",The meal offering of a Priest should not be eaten & Not to bake a meal offering as leavened bread,Vayikra 6:16 & Vayikra 6:10
2026-06-03,"366, 367",The Kohanim must eat the remains of the meal offerings & To bring all avowed and freewill offerings to the Temple on the first subsequent festival,Vayikra 6:9 & Devarim 12:5-6
2026-06-04,"368, 369",Not to withhold payment incurred by any vow & To offer all sacrifices in the Temple,Devarim 23:22 & Devarim 12:11
2026-06-05,"370, 371",To bring all sacrifices from outside Israel to the Temple & Not to slaughter sacrifices outside the courtyard,Devarim 12:26 & Vayikra 17:4
2026-06-06,"372, 373",Not to offer any sacrifices outside the courtyard & To offer two lambs every day,Devarim 12:13 & Bamidbar 28:3
2026-06-07,"374, 375",To light a fire on the altar every day & Not to extinguish this fire,Vayikra 6:5 & Vayikra 6:5
2026-06-08,"376, 377",To remove the ashes from the altar every day & To burn incense every day,Vayikra 6:3 & Shemos 30:7
2026-06-09,"378, 379",To light the Menorah every day & The High Priest must bring a meal offering every day,Shemos 27:21 & Vayikra 6:13
2026-06-10,"380, 381",To bring two additional lambs as burnt offerings on Shabbat & To make the show bread,Bamidbar 28:9 & Shemos 25:30
2026-06-11,"382, 383",To bring additional offerings on the New Month (Rosh Chodesh) & To bring additional offerings on Passover,Bamidbar 28:11 & Bamidbar 28:19
2026-06-12,"384, 385",To offer the wave offering from the meal of the new wheat (on the 2nd day of Passover) & Each man must count the Omer,Vayikra 23:10 & seven weeks from the day the new wheat offering was brought—Leviticus 23:15
2026-06-13,"386, 387",To bring additional offerings on Shavuot & To bring two loaves to accompany the above sacrifice,Bamidbar 28:26 & Vayikra 23:18
2026-06-14,"388, 389",To bring additional offerings on Rosh Hashanah & To bring additional offerings on Yom Kippur,Bamidbar 29:2 & Bamidbar 29:8
2026-06-15,"390, 391",To bring additional offerings on Sukkot & To bring additional offerings on Shmini Atzeret,Bamidbar 29:13 & Bamidbar 29:35
